"COD_REG","COD_CM","COD_PRO","PRO_COM","COMUNE","eastmost1","eastmost2","westmost1","westmost2","northmost1","northmost2","southmost1","southmost2"
1,201,1,1065,"Castagnole Piemonte",7.61229625791126,44.8976653143777,7.53796503711743,44.8910619480622,7.56632554622092,44.9189766812837,7.572223333507,44.874382630688
1,201,1,1088,"Coassolo Torinese",7.4990952256685,45.3012472801721,7.43401337895902,45.3269859008404,7.43784996986358,45.3675535114702,7.47099554182585,45.2876783980451
1,201,1,1090,"Collegno",7.62287668705427,45.1138248224637,7.55469401576704,45.088532899944,7.6074578486157,45.1201589351775,7.57025502188479,45.0691770325073
1,201,1,1025,"Bibiana",7.3500901534906,44.782438978911,7.22751058632044,44.7792514121407,7.27840232860123,44.8095392092149,7.23721630138762,44.7684955591633
1,201,1,1030,"Borgofranco d'Ivrea",7.88448602743278,45.5204766010438,7.8165366461009,45.5019526035082,7.84877614647109,45.537516777059,7.83707329578965,45.4950121713371
1,201,1,1044,"Bussoleno",7.16832661733918,45.128239813121,7.09444306995186,45.1582707632188,7.13179170490111,45.1876796864178,7.12848333080655,45.0623806893059
1,201,1,1045,"Buttigliera Alta",7.45705049428564,45.0607720420194,7.41733081923749,45.0773722227444,7.44428883562182,45.0897105038057,7.44110043645423,45.0586875255668
1,201,1,1046,"Cafasse",7.53775142444528,45.2370373602254,7.48106615624477,45.2422563784225,7.5007077591067,45.2626252924842,7.51289407676464,45.2261215565584
1,201,1,1047,"Caluso",7.91753606564738,45.3049361705784,7.83724442398552,45.2996102012844,7.88238354169575,45.3201834577407,7.88677260645545,45.2445873431177
1,201,1,1049,"Campiglione Fenile",7.35279318902027,44.8011124673395,7.28662512007758,44.8065706864406,7.33487056014376,44.8220119817103,7.35084441367529,44.7870094649569
1,201,1,1059,"Carmagnola",7.82282582428525,44.8612985638712,7.64650531043934,44.8469803251741,7.78310613527552,44.9135395281346,7.68476843482907,44.8102307499664
1,201,1,1078,"Chieri",7.88929819896568,45.0138678982116,7.77522574227384,45.0068681464079,7.83294484263667,45.0620505975662,7.81328269061621,44.9515528355825
1,201,1,1050,"Candia Canavese",7.9227012092206,45.331070985636,7.87409147400205,45.3135129985617,7.91403914482742,45.3494596893401,7.87555137444631,45.3133743733253
1,201,1,1051,"Candiolo",7.61027335327079,44.9610595125262,7.55402618311799,44.9553289921591,7.55943830722299,44.988825935542,7.59285521578718,44.9449352840848
1,201,1,1080,"Chiomonte",7.0201477468762,45.0766259275437,6.94702364630476,45.131036889142,6.98616987934363,45.1364825495841,6.99088075982472,45.0696153424023
1,201,1,1081,"Chiusa di San Michele",7.34293273942874,45.0979298422517,7.30385725142849,45.0789835096038,7.33769591696464,45.1109196843685,7.30408426859137,45.0789328660909
1,201,1,1013,"Avigliana",7.43439895004516,45.0991621585662,7.34820879325548,45.0829014017991,7.39440568567102,45.1018698870871,7.38338367803609,45.0430859685398
1,201,1,1014,"Azeglio",8.0274319134315,45.4031084081139,7.96115177463692,45.4225156769674,7.96877700868564,45.4471310314001,8.02052937861818,45.3996506625397
1,201,1,1048,"Cambiano",7.79647758175895,44.9851835938769,7.72034752191382,44.9474389774907,7.77563446309846,45.0115084809009,7.7488361925271,44.9361106907154
1,201,1,1067,"Castelnuovo Nigra",7.72010445708734,45.4105138890237,7.63605011032199,45.5006058282208,7.6562535336934,45.5048103131844,7.71891938163966,45.4093214363547
1,201,1,1068,"Castiglione Torinese",7.82489930130843,45.1030069739808,7.77261700396892,45.1236154421276,7.79757485397555,45.1413171862454,7.813956657327,45.0830945624155
1,201,1,1091,"Colleretto Castelnuovo",7.68584991138005,45.436700951355,7.6439964827393,45.4577875150358,7.66331885498469,45.4608776855963,7.67481830347631,45.4084941675956
1,201,1,1092,"Colleretto Giacosa",7.82961396399548,45.4409425954707,7.79253385766828,45.4331080889961,7.8266034592071,45.4439181017508,7.81877492673832,45.4155826143338
1,201,1,1015,"Bairo",7.76770461029096,45.3855188773677,7.73125561264641,45.3749820487513,7.75089852640793,45.392919857361,7.74033697065822,45.3574332701058
1,201,1,1016,"Balangero",7.55151465682111,45.2817835681063,7.49201045080144,45.2925530786337,7.49890117380128,45.3010331890195,7.52340942052762,45.2531815038591
1,201,1,1017,"Baldissero Canavese",7.7609441504104,45.4084394336274,7.72731240015405,45.3999369663091,7.74873901139406,45.4230503818394,7.7342103536584,45.3924480778797
1,201,1,1052,"Canischio",7.62021564595946,45.3762485491969,7.54008488455873,45.3847261104426,7.5599442293317,45.3953207362566,7.58730294620941,45.3650940793557
1,201,1,1053,"Cantalupa",7.35766960853659,44.9497297843871,7.30963661518398,44.9505860792436,7.31721294115324,44.9726221480593,7.31591920049753,44.9338047784423
1,201,1,1054,"Cantoira",7.42965079442659,45.3707107845354,7.3379234772688,45.3461597902502,7.39863801022303,45.376772271549,7.38165573115877,45.3267464408554
1,201,1,1069,"Cavagnolo",8.06056467754055,45.1434954830879,8.0048384683155,45.1315058496515,8.02801657351554,45.1799631591234,8.01443968074835,45.125233935584
1,201,1,1093,"Condove",7.33436232719015,45.1735495675384,7.20368315654116,45.1759116418142,7.22134474311935,45.1976344292481,7.30442324243106,45.1075273552129
1,201,1,1094,"Corio",7.56628075314654,45.2861240668173,7.47142169820456,45.3584124484348,7.50115933853739,45.3728216773137,7.55153633563451,45.2822789131518
1,201,1,1018,"Baldissero Torinese",7.83398816232847,45.0619622193388,7.7672116354374,45.0708232182112,7.78166430594804,45.0950104339361,7.82981491672437,45.0411434285509
