cod_istat 	 cod_istat_reg 	 cod_istat_pro 	name                                      	WKT_southernmost                       	WS_EPGS_4326	S_EPGS_4326
1064	1	1	 Castagneto Po                                                                  	 POINT(7.8871881 45.141321)	7.8871881	45.141321
1065	1	1	 Castagnole Piemonte                                                            	 POINT(7.5722233 44.8743826)	7.5722233	44.8743826
1066	1	1	 Castellamonte                                                                  	 POINT(7.7284461 45.3521437)	7.7284461	45.3521437
1067	1	1	 Castelnuovo Nigra                                                              	 POINT(7.7189194 45.4093214)	7.7189194	45.4093214
1068	1	1	 Castiglione Torinese                                                           	 POINT(7.8139567 45.0830946)	7.8139567	45.0830946
1069	1	1	 Cavagnolo                                                                      	 POINT(8.0144238 45.1252302)	8.0144238	45.1252302
1070	1	1	 Cavour                                                                         	 POINT(7.3486544 44.7515947)	7.3486544	44.7515947
1071	1	1	 Cercenasco                                                                     	 POINT(7.4844119 44.8539279)	7.4844119	44.8539279
1072	1	1	 Ceres                                                                          	 POINT(7.4065751 45.2948449)	7.4065751	45.2948449
1073	1	1	 Ceresole Reale                                                                 	 POINT(7.2225627 45.3929889)	7.2225627	45.3929889
1074	1	1	 Cesana Torinese                                                                	 POINT(6.9067999 44.8432822)	6.9067999	44.8432822
1075	1	1	 Chialamberto                                                                   	 POINT(7.2969568 45.3419151)	7.2969568	45.3419151
1076	1	1	 Chianocco                                                                      	 POINT(7.1827849 45.1307573)	7.1827849	45.1307573
1077	1	1	 Chiaverano                                                                     	 POINT(7.8925897 45.4823413)	7.8925897	45.4823413
1078	1	1	 Chieri                                                                         	 POINT(7.8132827 44.9515528)	7.8132827	44.9515528
1079	1	1	 Chiesanuova                                                                    	 POINT(7.6507661 45.408352)	7.6507661	45.408352
1080	1	1	 Chiomonte                                                                      	 POINT(6.9908808 45.0696153)	6.9908808	45.0696153
1081	1	1	 Chiusa di San Michele                                                          	 POINT(7.3040843 45.0789329)	7.3040843	45.0789329
1082	1	1	 Chivasso                                                                       	 POINT(7.9274579 45.1724108)	7.9274579	45.1724108
1083	1	1	 Ciconio                                                                        	 POINT(7.754042 45.3187788)	7.754042	45.3187788
1084	1	1	 Cintano                                                                        	 POINT(7.6914871 45.4118368)	7.6914871	45.4118368
1085	1	1	 Cinzano                                                                        	 POINT(7.920227 45.0745035)	7.920227	45.0745035
1086	1	1	 Ciriè                                                                          	 POINT(7.5926703 45.1919501)	7.5926703	45.1919501
1087	1	1	 Claviere                                                                       	 POINT(6.7563151 44.9133215)	6.7563151	44.9133215
1088	1	1	 Coassolo Torinese                                                              	 POINT(7.4709955 45.2876784)	7.4709955	45.2876784
1089	1	1	 Coazze                                                                         	 POINT(7.2059068 45.0042297)	7.2059068	45.0042297
1090	1	1	 Collegno                                                                       	 POINT(7.570255 45.069177)	7.570255	45.069177
1091	1	1	 Colleretto Castelnuovo                                                         	 POINT(7.6745907 45.4084848)	7.6745907	45.4084848
1092	1	1	 Colleretto Giacosa                                                             	 POINT(7.8187749 45.4155826)	7.8187749	45.4155826
1093	1	1	 Condove                                                                        	 POINT(7.3044232 45.1075274)	7.3044232	45.1075274
1094	1	1	 Corio                                                                          	 POINT(7.5515363 45.2822789)	7.5515363	45.2822789
1095	1	1	 Cossano Canavese                                                               	 POINT(8.0096236 45.3756448)	8.0096236	45.3756448
1096	1	1	 Cuceglio                                                                       	 POINT(7.8117185 45.3426305)	7.8117185	45.3426305
1097	1	1	 Cumiana                                                                        	 POINT(7.4300633 44.9250611)	7.4300633	44.9250611
1098	1	1	 Cuorgnè                                                                        	 POINT(7.6309613 45.3786012)	7.6309613	45.3786012
1099	1	1	 Druento                                                                        	 POINT(7.5811475 45.1138219)	7.5811475	45.1138219
1100	1	1	 Exilles                                                                        	 POINT(6.9350713 45.0603018)	6.9350713	45.0603018
1101	1	1	 Favria                                                                         	 POINT(7.6893838 45.2754604)	7.6893838	45.2754604
1102	1	1	 Feletto                                                                        	 POINT(7.7714918 45.2752705)	7.7714918	45.2752705
1103	1	1	 Fenestrelle                                                                    	 POINT(7.0376113 44.9880166)	7.0376113	44.9880166
1104	1	1	 Fiano                                                                          	 POINT(7.5399226 45.1840236)	7.5399226	45.1840236
1105	1	1	 Fiorano Canavese                                                               	 POINT(7.8230212 45.453346)	7.8230212	45.453346
1106	1	1	 Foglizzo                                                                       	 POINT(7.8344018 45.2432727)	7.8344018	45.2432727
1107	1	1	 Forno Canavese                                                                 	 POINT(7.6079293 45.3238062)	7.6079293	45.3238062
1108	1	1	 Frassinetto                                                                    	 POINT(7.6009858 45.4296126)	7.6009858	45.4296126
1109	1	1	 Front                                                                          	 POINT(7.663148 45.2542234)	7.663148	45.2542234
1110	1	1	 Frossasco                                                                      	 POINT(7.3842127 44.906305)	7.3842127	44.906305
1111	1	1	 Garzigliana                                                                    	 POINT(7.3453652 44.8231098)	7.3453652	44.8231098
1112	1	1	 Gassino Torinese                                                               	 POINT(7.8444936 45.0776411)	7.8444936	45.0776411
1113	1	1	 Germagnano                                                                     	 POINT(7.4666273 45.2295063)	7.4666273	45.2295063
1114	1	1	 Giaglione                                                                      	 POINT(6.9932062 45.1291171)	6.9932062	45.1291171
1115	1	1	 Giaveno                                                                        	 POINT(7.2894837 44.9797716)	7.2894837	44.9797716
1116	1	1	 Givoletto                                                                      	 POINT(7.5054512 45.1412592)	7.5054512	45.1412592
1117	1	1	 Gravere                                                                        	 POINT(7.0323857 45.0758698)	7.0323857	45.0758698
1118	1	1	 Groscavallo                                                                    	 POINT(7.2055022 45.3223901)	7.2055022	45.3223901
1119	1	1	 Grosso                                                                         	 POINT(7.5606101 45.2476525)	7.5606101	45.2476525
1120	1	1	 Grugliasco                                                                     	 POINT(7.6116114 45.0337465)	7.6116114	45.0337465
1121	1	1	 Ingria                                                                         	 POINT(7.5677906 45.4515511)	7.5677906	45.4515511
1122	1	1	 Inverso Pinasca                                                                	 POINT(7.2190909 44.9164695)	7.2190909	44.9164695
1123	1	1	 Isolabella                                                                     	 POINT(7.9145572 44.8918871)	7.9145572	44.8918871
1124	1	1	 Issiglio                                                                       	 POINT(7.7392594 45.433527)	7.7392594	45.433527
1125	1	1	 Ivrea                                                                          	 POINT(7.9307319 45.4131842)	7.9307319	45.4131842
1126	1	1	 La Cassa                                                                       	 POINT(7.5253911 45.1546761)	7.5253911	45.1546761
1127	1	1	 La Loggia                                                                      	 POINT(7.6745676 44.9323397)	7.6745676	44.9323397
1128	1	1	 Lanzo Torinese                                                                 	 POINT(7.4847976 45.2523291)	7.4847976	45.2523291
1129	1	1	 Lauriano                                                                       	 POINT(7.9802774 45.1238313)	7.9802774	45.1238313
1130	1	1	 Leinì                                                                          	 POINT(7.7245589 45.1476146)	7.7245589	45.1476146
1131	1	1	 Lemie                                                                          	 POINT(7.2903032 45.1847444)	7.2903032	45.1847444
1132	1	1	 Lessolo                                                                        	 POINT(7.8088275 45.4644998)	7.8088275	45.4644998
1133	1	1	 Levone                                                                         	 POINT(7.6180893 45.3065074)	7.6180893	45.3065074
1134	1	1	 Locana                                                                         	 POINT(7.464801 45.3578015)	7.464801	45.3578015
1135	1	1	 Lombardore                                                                     	 POINT(7.7370813 45.2165205)	7.7370813	45.2165205
1136	1	1	 Lombriasco                                                                     	 POINT(7.6570879 44.8164036)	7.6570879	44.8164036
1137	1	1	 Loranzè                                                                        	 POINT(7.793692 45.4344615)	7.793692	45.4344615
