"COD_REG","COD_CM","COD_PRO","PRO_COM","COMUNE","NOME_TED","E_EPGS32632","W_EPGS32632","S_EPGS32632","N_EPGS32632","E_EPGS4326","W_EPGS4326","S_EPGS4326","N_EPGS4326"
1,201,1,1067,"Castelnuovo Nigra",NA,393440.262280561,399847.686564554,5029220.63400042,5039909.05296683,7.63605011032199,7.72010445708734,45.4093214363547,45.5048103131844
1,201,1,1068,"Castiglione Torinese",NA,403471.69979294,407550.388722122,4992865.4082364,4999352.36015064,7.77261700396892,7.82489930130843,45.0830945624155,45.1413171862454
1,201,1,1091,"Colleretto Castelnuovo",NA,393980.792275374,397215.924902885,5029184.63356894,5035019.09002476,7.6439964827393,7.68584991138005,45.4084941675956,45.4608776855963
1,201,1,1092,"Colleretto Giacosa",NA,405552.988610307,408466.027701243,5029796.63163464,5032935.60871527,7.79253385766828,7.82961396399548,45.4155826143338,45.4439181017508
1,201,1,1015,"Bairo",NA,400658.026057267,403529.879922885,5023429.67699869,5027359.14860205,7.73125561264641,7.76770461029096,45.3574332701058,45.392919857361
1,201,1,1016,"Balangero",NA,381753.857401568,386398.259140805,5012136.75704795,5017488.21623156,7.49201045080144,7.55151465682111,45.2531815038591,45.3010331890195
1,201,1,1017,"Baldissero Canavese",NA,400393.120516902,403039.851829681,5027327.14951173,5030709.12420833,7.72731240015405,7.7609441504104,45.3924480778797,45.4230503818394
1,201,1,1052,"Canischio",NA,385709.1375171,391966.089709155,5024479.66735504,5027875.64123095,7.54008488455873,7.62021564595946,45.3650940793557,45.3953207362566
1,201,1,1053,"Cantalupa",NA,366658.981858719,370446.047310396,4976959.51887189,4981286.48549149,7.30963661518398,7.35766960853659,44.9338047784423,44.9726221480593
1,201,1,1054,"Cantoira",NA,369794.318807883,377033.342028381,5020522.69178301,5026053.64975947,7.3379234772688,7.42965079442659,45.3267464408554,45.376772271549
1,201,1,1069,"Cavagnolo",NA,421745.686249515,426143.184189298,4997334.87791766,5003401.83387407,8.0048384683155,8.06056467754055,45.125233935584,45.1799631591234
1,201,1,1093,"Condove",NA,358856.74957659,369119.268493598,4996291.87149405,5006444.2919242,7.20368315654116,7.33436232719015,45.1075273552129,45.1976344292481
1,201,1,1094,"Corio",NA,380278.271943503,387564.907802823,5015329.23400099,5025460.15647611,7.47142169820456,7.56628075314654,45.2822789131518,45.3728216773137
1,201,1,1018,"Baldissero Torinese",NA,402957.200026794,408199.539538073,4988186.94355234,4994226.89754999,7.7672116354374,7.83398816232847,45.0411434285509,45.0950104339361
1,201,1,1031,"Borgomasino",NA,418066.521716716,422661.111735451,5021740.1941523,5025742.16529706,7.95395571984648,8.01238424518626,45.3445334624252,45.3806214717587
1,201,1,1032,"Borgone Susa",NA,359676.652207778,364287.743224582,4996832.86595044,4999188.34621035,7.21579461865209,7.27471835540615,45.1118421551649,45.1325018312955
1,201,1,1055,"Caprie",NA,367324.033607272,371931.390188612,4995959.31253778,5003579.3161137,7.31297281649372,7.37180694877789,45.1054676984892,45.1735495675384
1,201,1,1056,"Caravino",NA,415028.918822078,421239.340734125,5025345.1677647,5030156.13122843,7.9142309338754,7.99377381576156,45.3771631193024,45.4202018267103
1,201,1,1057,"Carema",NA,405972.043224112,411456.836589069,5046409.50735493,5050507.90750336,7.79463943149506,7.86471494821378,45.565050906755,45.6023212685629
1,201,1,1070,"Cavour",NA,368994.813594595,377884.81043573,4956682.67300539,4966525.09878512,7.34309077101242,7.45657357401249,44.7515947185555,44.840827830848
1,201,1,1095,"Cossano Canavese",NA,420449.53557107,422709.673024395,5025158.17065504,5027694.15105335,7.98381667372375,8.012570387812,45.375644761766,45.3983659885565
1,201,1,1096,"Cuceglio",NA,405164.367102412,408511.218688404,5021700.19218223,5025307.66590128,7.78915374813316,7.83194811387695,45.3426305298165,45.3750147577862
1,201,1,1214,"Rivalta di Torino",NA,379573.325610066,387265.573998349,4982169.48304111,4989366.42933245,7.47130682624247,7.56856517886353,44.9832570992153,45.0485812398731
1,201,1,1033,"Bosconero",NA,400909.588765332,406051.800735008,5011376.76814562,5016100.23273151,7.73657289286605,7.80278512302679,45.2496111781274,45.2914946679798
1,201,1,1034,"Brandizzo",NA,406737.517385468,410085.648560709,5001120.34697184,5004529.3219386,7.81329212730635,7.85571254900967,45.1575749345978,45.1883121254467
1,201,1,1036,"Brosso",NA,398530.912429647,407808.71894579,5037388.0745464,5044293.52121926,7.70024881932141,7.81975483019562,45.483673953635,45.544871626694
1,201,1,1061,"Cascinette d'Ivrea",NA,413645.552248707,415344.914965924,5035946.58800525,5038003.07202788,7.89501030519845,7.91691321197052,45.4717939526294,45.4903615481431
1,201,1,1071,"Cercenasco",NA,378156.304706807,385354.968000869,4967841.09089566,4970370.57014502,7.45776541958821,7.54882794658751,44.8539278896236,44.8772929581677
1,201,1,1072,"Ceres",NA,366580.31195874,376056.55327481,5016939.7185797,5022871.67137069,7.2970231293923,7.41890600209935,45.2948448764726,45.3470086375705
1,201,1,1010,"Andrate",NA,411468.160306676,414327.232286511,5041000.04975036,5048225.49586358,7.86630220469446,7.90240341225762,45.5172075781364,45.5822167961101
1,201,1,1019,"Balme",NA,351804.952649378,362914.871261107,5013054.74211637,5021673.17611801,7.10919988505297,7.25138065364954,45.2572009819748,45.3347281648546
1,201,1,1035,"Bricherasio",NA,360751.623498702,369242.873606735,4963031.62165747,4968307.08107364,7.23776264494081,7.34616064422252,44.8078605336406,44.8547816372824
1,201,1,1073,"Ceresole Reale",NA,351360.638408479,366580.026536895,5028144.62932228,5041990.52579969,7.09875653283903,7.29479105098702,45.3929889451539,45.5162643367558
1,201,1,1075,"Chialamberto",NA,366473.279982902,374112.566963417,5022344.67507364,5030358.1164953,7.29552200166975,7.39190889852851,45.3419150759038,45.4144478317723
1,201,1,1001,"Agli̬",NA,401765.580655398,406265.889661865,5021615.69163042,5026917.65163979,7.74573942571117,7.80300987773706,45.3414894732875,45.3891956580484
1,201,1,1002,"Airasca",NA,377453.432346295,383360.732707895,4973407.04757682,4977412.01861032,7.44736199104334,7.52191340381933,44.9039599392924,44.9401260307236
1,201,1,1037,"Brozolo",NA,424777.914208453,428968.133431645,4994185.40218097,4998025.37353717,8.04364483394252,8.09668068551021,45.097391143909,45.1321209555186
1,201,1,1038,"Bruino",NA,378424.35995515,381282.245051608,4984005.46734459,4987124.44322065,7.45702622047542,7.49361733692355,44.9991801217457,45.0272283688613
1,201,1,1058,"Carignano",NA,388967.50354122,398927.271222551,4965756.61132435,4977153.52391768,7.59410744649559,7.71970692557276,44.8373626691464,44.9399448595753
1,201,1,1074,"Cesana Torinese",NA,321645.194526349,336583.964109871,4967740.07559483,4986926.92572706,6.7373504354906,6.93150542650428,44.843901753505,45.0144816658026
1,201,1,1003,"Ala di Stura",NA,361298.225707339,369790.976131101,5014162.73536882,5022431.67470887,7.22982679501427,7.33921511178075,45.267585773048,45.3422437942291
1,201,1,1004,"Albiano d'Ivrea",NA,415226.478818754,419973.78766478,5029052.63975192,5033304.60819872,7.91609326132339,7.97691511667674,45.4100472332345,45.4482087711361
